# Voice Recording Script
# Generated on: 2025-10-30 22:19:20
# Total sentences: 200
#
# Instructions:
# - Find a quiet room
# - Use a good microphone
# - Speak naturally in your normal voice
# - Take breaks every 20-30 sentences
# - Record each sentence as audio_001.wav, audio_002.wav, etc.
#
# Format below: audio_XXX.wav|sentence text
#======================================================================

audio_001.wav|I'm really excited about this opportunity!
audio_002.wav|The deadline is December thirty-first at midnight.
audio_003.wav|That works.
audio_004.wav|That's hilarious! I can't stop laughing!
audio_005.wav|That's absolutely amazing! I can't believe it!
audio_006.wav|The total comes to one hundred and forty-seven dollars and fifty cents.
audio_007.wav|I'd rather have coffee than tea, if that's alright.
audio_008.wav|This is incredibly frustrating.
audio_009.wav|Not at all.
audio_010.wav|That works.
audio_011.wav|Sounds good.
audio_012.wav|Let's review the specifications one more time.
audio_013.wav|The five boxing wizards jump quickly.
audio_014.wav|Pack my box with five dozen liquor jugs.
audio_015.wav|Sphinx of black quartz, judge my vow.
audio_016.wav|I see what you're saying.
audio_017.wav|The five boxing wizards jump quickly.
audio_018.wav|Fair enough.
audio_019.wav|This is incredibly frustrating.
audio_020.wav|Good point.
audio_021.wav|My passport number is A one two three four five six seven eight nine.
audio_022.wav|What do you think about this?
audio_023.wav|Please call me at five five five, one two three four.
audio_024.wav|We're going to visit the castle this weekend.
audio_025.wav|When will you be available?
audio_026.wav|Who was responsible for this decision?
audio_027.wav|What time does the meeting start?
audio_028.wav|I'm disappointed with the outcome.
audio_029.wav|Wait! Don't forget your jacket!
audio_030.wav|I'll get back to you as soon as possible.
audio_031.wav|Mr. Jock, TV quiz PhD, bags few lynx.
audio_032.wav|Fair enough.
audio_033.wav|We should schedule a meeting to discuss the requirements.
audio_034.wav|Not at all.
audio_035.wav|Hello, how are you doing today?
audio_036.wav|Pack my box with five dozen liquor jugs.
audio_037.wav|I suppose so.
audio_038.wav|How vexingly quick daft zebras jump.
audio_039.wav|Not really.
audio_040.wav|Hello, how are you doing today?
audio_041.wav|The quick brown fox jumps over the lazy dog.
audio_042.wav|When will you be available?
audio_043.wav|Could you please repeat that?
audio_044.wav|Absolutely.
audio_045.wav|According to recent research, the results are promising.
audio_046.wav|Well, let me see... I think that could work.
audio_047.wav|Mr. Jock, TV quiz PhD, bags few lynx.
audio_048.wav|Could you please repeat that?
audio_049.wav|The five boxing wizards jump quickly.
audio_050.wav|Which option do you prefer?
audio_051.wav|How vexingly quick daft zebras jump.
audio_052.wav|The system architecture consists of multiple microservices.
audio_053.wav|Sure thing!
audio_054.wav|The conference will be held next month in Stockholm, and we're expecting participants from all over Europe to attend and share their latest research findings.
audio_055.wav|We need to analyze the data before making any conclusions.
audio_056.wav|Could this be improved somehow?
audio_057.wav|Thank you so much for your help.
audio_058.wav|That's right.
audio_059.wav|The system architecture consists of multiple microservices.
audio_060.wav|The options are: first, we could wait; second, we could proceed; or third, we could cancel.
audio_061.wav|However, there's one thing I should mention first.
audio_062.wav|I completely agree with you.
audio_063.wav|The options are: first, we could wait; second, we could proceed; or third, we could cancel.
audio_064.wav|What time does the meeting start?
audio_065.wav|The implementation follows industry best practices.
audio_066.wav|We need to analyze the data before making any conclusions.
audio_067.wav|Sounds good.
audio_068.wav|Absolutely.
audio_069.wav|That sounds like a great idea!
audio_070.wav|That makes me feel a bit uncomfortable.
audio_071.wav|I'm not sure I understand what you mean.
audio_072.wav|I'm disappointed with the outcome.
audio_073.wav|Of course.
audio_074.wav|If you're interested in learning more about this topic, I would recommend starting with the introductory materials and then gradually working your way up to the more advanced concepts.
audio_075.wav|I'm really excited about this opportunity!
